URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administration-method-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.90,2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/stroke-medication-administration-profile,StructureDefinition/paracetamol-on-fever-medicationAdministration-profile,StructureDefinition/insulin-on-hyperglycemia-medicationAdministration-profile,StructureDefinition/nimodipine-medicationAdministration-profile","SCT"
http://hl7.org/fhir/ValueSet/administration-subpotent-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.3128",MedicationAdministrationSubpotentReason,MedicationAdministration Subpotent Reason,"MedicationAdministration Subpotent Reason","StructureDefinition/stroke-medication-administration-profile,StructureDefinition/paracetamol-on-fever-medicationAdministration-profile,StructureDefinition/insulin-on-hyperglycemia-medicationAdministration-profile,StructureDefinition/nimodipine-medicationAdministration-profile","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/resq-patient-profile","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/mechanical-thrombectomy-diagnostic-report-profile,StructureDefinition/analitics-observation-profile,StructureDefinition/glasgow-coma-scale-observation-profile,StructureDefinition/stroke-carotid-imaging-procedure-profile,StructureDefinition/three-month-communication-profile,StructureDefinition/discharge-medication-request-profile,StructureDefinition/patient-ventilated-observation-profile,StructureDefinition/stroke-vte-procedure-profile,StructureDefinition/post-stroke-complication-condition-profile,StructureDefinition/timing-metric-observation-profile,StructureDefinition/stroke-registry-organization-profile,StructureDefinition/appointment-management-observation-profile,StructureDefinition/prior-medication-statement-profile,StructureDefinition/tia-clinical-symptoms-observation-profile,StructureDefinition/no-anticoagulant-discharge-reason-observation-profile,StructureDefinition/paracetamol-on-fever-medicationAdministration-profile,StructureDefinition/vital-sign-observation-profile,StructureDefinition/stroke-treatment-procedure-profile,StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-encounter-profile,StructureDefinition/stroke-medication-administration-profile,StructureDefinition/stroke-imaging-diagnostic-report-profile,StructureDefinition/stroke-carotid-endarterectomy-procedure-profile,StructureDefinition/resq-practitioner-role-profile,StructureDefinition/base-stroke-observation,StructureDefinition/functional-score-observation-profile,StructureDefinition/glucose-ge10-observation-profile,StructureDefinition/resq-patient-profile,StructureDefinition/stroke-imaging-procedure-profile,StructureDefinition/stroke-mechanical-procedure-profile,StructureDefinition/resq-body-structure-profile,StructureDefinition/hyperglycemia-observation-profile,StructureDefinition/glasgow-coma-score-observation-profile,StructureDefinition/fever-observation-profile,StructureDefinition/hospitalized-location-profile,StructureDefinition/resq-location-profile,StructureDefinition/three-month-contact-mode-observation-profile,StructureDefinition/stroke-diagnosis-condition-profile,StructureDefinition/stroke-swallow-procedure-profile,StructureDefinition/specific-finding-observation-profile,StructureDefinition/nimodipine-medicationAdministration-profile,StructureDefinition/highest-hyperglycemia-value-observation-profile,StructureDefinition/insulin-on-hyperglycemia-medicationAdministration-profile","Other"
http://hl7.org/fhir/ValueSet/approach-site-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureAdministrationSites,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/stroke-medication-administration-profile,StructureDefinition/paracetamol-on-fever-medicationAdministration-profile,StructureDefinition/insulin-on-hyperglycemia-medicationAdministration-profile,StructureDefinition/nimodipine-medicationAdministration-profile","SCT"
http://hl7.org/fhir/ValueSet/body-site,5.0.0,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/analitics-observation-profile,StructureDefinition/glasgow-coma-scale-observation-profile,StructureDefinition/stroke-carotid-imaging-procedure-profile,StructureDefinition/patient-ventilated-observation-profile,StructureDefinition/stroke-vte-procedure-profile,StructureDefinition/post-stroke-complication-condition-profile,StructureDefinition/timing-metric-observation-profile,StructureDefinition/appointment-management-observation-profile,StructureDefinition/tia-clinical-symptoms-observation-profile,StructureDefinition/no-anticoagulant-discharge-reason-observation-profile,StructureDefinition/vital-sign-observation-profile,StructureDefinition/stroke-treatment-procedure-profile,StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-carotid-endarterectomy-procedure-profile,StructureDefinition/base-stroke-observation,StructureDefinition/functional-score-observation-profile,StructureDefinition/glucose-ge10-observation-profile,StructureDefinition/stroke-imaging-procedure-profile,StructureDefinition/stroke-mechanical-procedure-profile,StructureDefinition/resq-body-structure-profile,StructureDefinition/hyperglycemia-observation-profile,StructureDefinition/glasgow-coma-score-observation-profile,StructureDefinition/fever-observation-profile,StructureDefinition/three-month-contact-mode-observation-profile,StructureDefinition/stroke-swallow-procedure-profile,StructureDefinition/specific-finding-observation-profile,StructureDefinition/highest-hyperglycemia-value-observation-profile","SCT"
http://hl7.org/fhir/ValueSet/bodystructure-bodylandmarkorientation-clockface-position,5.0.0,draft,,BodystructureBodyLandmarkClockFacePosition,Bodystructure  Body Landmark  Clock  Face  Position,"Select SNOMED CT codes. A set of codes that describe a things orientation based on a hourly positions of a clock face.","StructureDefinition/resq-body-structure-profile","SCT"
http://hl7.org/fhir/ValueSet/bodystructure-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.142",SNOMEDCTMorphologicAbnormalities,SNOMED CT Morphologic Abnormalities,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/resq-body-structure-profile","SCT"
http://hl7.org/fhir/ValueSet/bodystructure-relative-location,5.0.0,draft,"2.16.840.1.113883.4.642.3.140",BodystructureLocationQualifier,Bodystructure Location Qualifier,"SNOMED-CT concepts modifying the anatomic location","StructureDefinition/resq-body-structure-profile","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,5.0.0,active,"2.16.840.1.113883.4.642.2.134,2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who    interacted with, treated, or provided a service to/for the patient. The value set used    for clinical specialty has been limited by HITSP to the value set reproduced from HITSP    C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/resq-practitioner-role-profile","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,5.0.0,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.3.227,2.16.840.1.113883.4.642.2.115",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/mechanical-thrombectomy-diagnostic-report-profile,StructureDefinition/post-stroke-complication-condition-profile,StructureDefinition/stroke-diagnosis-condition-profile,StructureDefinition/three-month-communication-profile","SCT"
http://hl7.org/fhir/ValueSet/communication-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.172,2.16.840.1.113883.4.642.3.162",CommunicationCategory,Communication Category,"Codes for general categories of communications such as alerts, instructions, etc.","StructureDefinition/three-month-communication-profile","THO"
